accession,taxid,superkingdom,phylum,class,order,family,subfamily,genus,species
MK450543,114777,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Myohalovirus,Natrialba phage PhiCh1
MK455769,2510451,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Colwellvirinae,Uliginvirus,Aeromonas phage MJG
MK455770,2510450,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Colwellvirinae,Uliginvirus,Aeromonas phage HJG
MK460245,2510587,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Arquatrovirinae,Arequatrovirus,Streptomyces phage BartholomewSD
MK460246,2510585,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Timquatrovirus,Mycobacterium phage Nibb
MK460247,2510586,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Timquatrovirus,Mycobacterium phage YoureAdopted
MK460248,2510588,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Samistivirus,Streptomyces phage Teutsch
MK468591,2530173,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Fromanvirus,Mycobacterium phage Arissanae
MK473373,2530172,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Lanavirus,Pseudomonas virus Lana
MK473382,2530171,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,,Clostridium phage JD032
MK479295,2530161,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Guernseyvirinae,Cornellvirus,Salmonella phage vB_SenS_SE1
MK482688,2491663,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Ounavirinae,Felixounavirus,Escherichia phage vB_EcoM_LMP25
MK482689,2491664,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Ounavirinae,Felixounavirus,Escherichia phage vB_EcoM_LMP33
MK483107,2530170,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,,,Vibrio phage vB_VpP_BA6
MK490927,2544945,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Phage Altai3
MK493321,2530169,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,,Cyanophage S-RIM4
MK493322,756278,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Neptunevirus,Synechococcus virus SRIM8
MK493323,756278,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Neptunevirus,Synechococcus virus SRIM8
MK493324,756278,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Neptunevirus,Synechococcus virus SRIM8
MK493325,756278,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Neptunevirus,Synechococcus virus SRIM8
MK494087,2517945,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Fromanvirus,Mycobacterium phage DBQu4n
MK494088,2517960,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Fromanvirus,Mycobacterium phage Mazhar510
MK494089,2517954,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Bernalvirus,Mycobacterium phage Ibrahim
MK494090,2517955,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Fromanvirus,Mycobacterium phage Jordennis
MK494091,2517968,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Fromanvirus,Mycobacterium phage Scorpia
MK494092,2517969,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Bronvirus,Mycobacterium phage Silverleaf
MK494093,2517964,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Fromanvirus,Mycobacterium phage Phighter1804
MK494094,2517947,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Fromanvirus,Mycobacterium phage DirtyDunning
MK494095,2517946,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Gilesvirus,Mycobacterium phage Daegal
MK494096,2517959,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Fromanvirus,Mycobacterium phage Mainiac
MK494097,2517958,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Fromanvirus,Mycobacterium phage Lorenzo
MK494098,2517934,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Demosthenesvirus,Gordonia phage Tredge
MK494099,2517971,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Mycobacterium phage Typha
MK494100,2517952,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Bronvirus,Mycobacterium phage Halena
MK494101,2517943,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Fromanvirus,Mycobacterium phage Connomayer
MK494102,2517972,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Dclasvirinae,Plotvirus,Mycobacterium virus Plot
MK494103,2517928,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Decurrovirus,Arthrobacter phage Blair
MK494104,2517935,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Bclasvirinae,Pegunavirus,Mycobacterium phage HenryJackson
MK494105,2517965,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Mycobacterium phage Pinnie
MK494106,2517931,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Woesvirus,Gordonia phage Jormungandr
MK494107,2517929,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Radnorvirus,Arthrobacter phage Chipper1996
MK494108,2517942,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Fromanvirus,Mycobacterium phage Charm
MK494109,2517932,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Woesvirus,Gordonia phage Lahirium
MK494110,2517970,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Cheoctovirus,Mycobacterium phage SwagPigglett
MK494111,2517930,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Decurrovirus,Arthrobacter phage StewieGriff
MK494112,2517973,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Samistivirus,Streptomyces phage EGole
MK494113,2517967,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Fromanvirus,Mycobacterium phage Refuge
MK494114,2517937,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Mycobacterium phage Argie
MK494115,2517940,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Fromanvirus,Mycobacterium phage Bumblebee11
MK494116,2517948,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Fromanvirus,Mycobacterium phage Dulcie
MK494117,2517961,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Fromanvirus,Mycobacterium phage Miramae
MK494118,2517944,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Cheoctovirus,Mycobacterium phage Cornucopia
MK494119,2517936,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Timquatrovirus,Mycobacterium Phage Niklas
MK494120,2517966,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Cheoctovirus,Mycobacterium phage Piper2020
MK494121,2517933,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Woesvirus,Gordonia phage Nimi13
MK494122,2517951,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Pclasvirinae,Fishburnevirus,Mycobacterium phage GreaseLightnin
MK494123,2517939,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Marvinvirus,Mycobacterium phage Blackbeetle
MK494124,2517956,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Fromanvirus,Mycobacterium phage Kristoff
MK494125,2517957,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Fromanvirus,Mycobacterium phage Kyee
MK494126,2517963,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Fromanvirus,Mycobacterium phage PeterPeter
MK494127,2517962,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Fromanvirus,Mycobacterium phage Noella
MK494128,2517953,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Fromanvirus,Mycobacterium phage Heliosoles
MK494129,2517938,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Fromanvirus,Mycobacterium phage AvatarAhPeg
MK494130,2517949,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Fromanvirus,Mycobacterium phage Fibonacci
MK494131,2517950,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Mycobacterium phage GodPhather
MK494132,2517941,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Mycobacterium phage Cepens
MK500278,2506600,Viruses,,,,Pithoviridae,,,Pithovirus LCDPAC01
MK500279,2506600,Viruses,,,,Pithoviridae,,,Pithovirus LCDPAC01
MK500280,2506600,Viruses,,,,Pithoviridae,,,Pithovirus LCDPAC01
MK500281,2506600,Viruses,,,,Pithoviridae,,,Pithovirus LCDPAC01
MK500299,2506601,Viruses,,,,Pithoviridae,,,Pithovirus LCDPAC02
MK500300,2506601,Viruses,,,,Pithoviridae,,,Pithovirus LCDPAC02
MK500301,2506601,Viruses,,,,Pithoviridae,,,Pithovirus LCDPAC02
MK500302,2506601,Viruses,,,,Pithoviridae,,,Pithovirus LCDPAC02
MK500303,2506601,Viruses,,,,Pithoviridae,,,Pithovirus LCDPAC02
MK500308,2506607,Viruses,Nucleocytoviricota,Megaviricetes,Pimascovirales,Iridoviridae,,,Iridovirus LCIVAC01
MK500309,2506607,Viruses,Nucleocytoviricota,Megaviricetes,Pimascovirales,Iridoviridae,,,Iridovirus LCIVAC01
MK500327,2506602,Viruses,Nucleocytoviricota,Megaviricetes,Pimascovirales,Marseilleviridae,,,Marseillevirus LCMAC101
MK500328,2506602,Viruses,Nucleocytoviricota,Megaviricetes,Pimascovirales,Marseilleviridae,,,Marseillevirus LCMAC101
MK500329,2506602,Viruses,Nucleocytoviricota,Megaviricetes,Pimascovirales,Marseilleviridae,,,Marseillevirus LCMAC101
MK500330,2506602,Viruses,Nucleocytoviricota,Megaviricetes,Pimascovirales,Marseilleviridae,,,Marseillevirus LCMAC101
MK500331,2506602,Viruses,Nucleocytoviricota,Megaviricetes,Pimascovirales,Marseilleviridae,,,Marseillevirus LCMAC101
MK500332,2506602,Viruses,Nucleocytoviricota,Megaviricetes,Pimascovirales,Marseilleviridae,,,Marseillevirus LCMAC101
MK500334,2506603,Viruses,Nucleocytoviricota,Megaviricetes,Pimascovirales,Marseilleviridae,,,Marseillevirus LCMAC102
MK500335,2506604,Viruses,Nucleocytoviricota,Megaviricetes,Pimascovirales,Marseilleviridae,,,Marseillevirus LCMAC103
MK500336,2506604,Viruses,Nucleocytoviricota,Megaviricetes,Pimascovirales,Marseilleviridae,,,Marseillevirus LCMAC103
MK500337,2506604,Viruses,Nucleocytoviricota,Megaviricetes,Pimascovirales,Marseilleviridae,,,Marseillevirus LCMAC103
MK500338,2506604,Viruses,Nucleocytoviricota,Megaviricetes,Pimascovirales,Marseilleviridae,,,Marseillevirus LCMAC103
MK500339,2506604,Viruses,Nucleocytoviricota,Megaviricetes,Pimascovirales,Marseilleviridae,,,Marseillevirus LCMAC103
MK500340,2506604,Viruses,Nucleocytoviricota,Megaviricetes,Pimascovirales,Marseilleviridae,,,Marseillevirus LCMAC103
MK500341,2506604,Viruses,Nucleocytoviricota,Megaviricetes,Pimascovirales,Marseilleviridae,,,Marseillevirus LCMAC103
MK500344,2506605,Viruses,Nucleocytoviricota,Megaviricetes,Pimascovirales,Marseilleviridae,,,Marseillevirus LCMAC201
MK500345,2506605,Viruses,Nucleocytoviricota,Megaviricetes,Pimascovirales,Marseilleviridae,,,Marseillevirus LCMAC201
MK500346,2506605,Viruses,Nucleocytoviricota,Megaviricetes,Pimascovirales,Marseilleviridae,,,Marseillevirus LCMAC201
MK500347,2506605,Viruses,Nucleocytoviricota,Megaviricetes,Pimascovirales,Marseilleviridae,,,Marseillevirus LCMAC201
MK500348,2506605,Viruses,Nucleocytoviricota,Megaviricetes,Pimascovirales,Marseilleviridae,,,Marseillevirus LCMAC201
MK500349,2506605,Viruses,Nucleocytoviricota,Megaviricetes,Pimascovirales,Marseilleviridae,,,Marseillevirus LCMAC201
MK500350,2506605,Viruses,Nucleocytoviricota,Megaviricetes,Pimascovirales,Marseilleviridae,,,Marseillevirus LCMAC201
MK500351,2506605,Viruses,Nucleocytoviricota,Megaviricetes,Pimascovirales,Marseilleviridae,,,Marseillevirus LCMAC201
MK500352,2506605,Viruses,Nucleocytoviricota,Megaviricetes,Pimascovirales,Marseilleviridae,,,Marseillevirus LCMAC201
MK500353,2506605,Viruses,Nucleocytoviricota,Megaviricetes,Pimascovirales,Marseilleviridae,,,Marseillevirus LCMAC201
MK500369,2506606,Viruses,Nucleocytoviricota,Megaviricetes,Pimascovirales,Marseilleviridae,,,Marseillevirus LCMAC202
MK500370,2506606,Viruses,Nucleocytoviricota,Megaviricetes,Pimascovirales,Marseilleviridae,,,Marseillevirus LCMAC202
MK500371,2506606,Viruses,Nucleocytoviricota,Megaviricetes,Pimascovirales,Marseilleviridae,,,Marseillevirus LCMAC202
MK500372,2506606,Viruses,Nucleocytoviricota,Megaviricetes,Pimascovirales,Marseilleviridae,,,Marseillevirus LCMAC202
MK500373,2506606,Viruses,Nucleocytoviricota,Megaviricetes,Pimascovirales,Marseilleviridae,,,Marseillevirus LCMAC202
MK500374,2506606,Viruses,Nucleocytoviricota,Megaviricetes,Pimascovirales,Marseilleviridae,,,Marseillevirus LCMAC202
MK500375,2506606,Viruses,Nucleocytoviricota,Megaviricetes,Pimascovirales,Marseilleviridae,,,Marseillevirus LCMAC202
MK500376,2506606,Viruses,Nucleocytoviricota,Megaviricetes,Pimascovirales,Marseilleviridae,,,Marseillevirus LCMAC202
MK500377,2506606,Viruses,Nucleocytoviricota,Megaviricetes,Pimascovirales,Marseilleviridae,,,Marseillevirus LCMAC202
MK500378,2506606,Viruses,Nucleocytoviricota,Megaviricetes,Pimascovirales,Marseilleviridae,,,Marseillevirus LCMAC202
MK500379,2506606,Viruses,Nucleocytoviricota,Megaviricetes,Pimascovirales,Marseilleviridae,,,Marseillevirus LCMAC202
MK500382,2506606,Viruses,Nucleocytoviricota,Megaviricetes,Pimascovirales,Marseilleviridae,,,Marseillevirus LCMAC202
MK500388,2506608,Viruses,Nucleocytoviricota,Megaviricetes,Imitervirales,Mimiviridae,,Mimivirus,Mimivirus LCMiAC01
MK500389,2506608,Viruses,Nucleocytoviricota,Megaviricetes,Imitervirales,Mimiviridae,,Mimivirus,Mimivirus LCMiAC01
MK500390,2506608,Viruses,Nucleocytoviricota,Megaviricetes,Imitervirales,Mimiviridae,,Mimivirus,Mimivirus LCMiAC01
MK500391,2506608,Viruses,Nucleocytoviricota,Megaviricetes,Imitervirales,Mimiviridae,,Mimivirus,Mimivirus LCMiAC01
MK500392,2506608,Viruses,Nucleocytoviricota,Megaviricetes,Imitervirales,Mimiviridae,,Mimivirus,Mimivirus LCMiAC01
MK500393,2506608,Viruses,Nucleocytoviricota,Megaviricetes,Imitervirales,Mimiviridae,,Mimivirus,Mimivirus LCMiAC01
MK500394,2506608,Viruses,Nucleocytoviricota,Megaviricetes,Imitervirales,Mimiviridae,,Mimivirus,Mimivirus LCMiAC01
MK500395,2506608,Viruses,Nucleocytoviricota,Megaviricetes,Imitervirales,Mimiviridae,,Mimivirus,Mimivirus LCMiAC01
MK500396,2506608,Viruses,Nucleocytoviricota,Megaviricetes,Imitervirales,Mimiviridae,,Mimivirus,Mimivirus LCMiAC01
MK500397,2506608,Viruses,Nucleocytoviricota,Megaviricetes,Imitervirales,Mimiviridae,,Mimivirus,Mimivirus LCMiAC01
MK500398,2506608,Viruses,Nucleocytoviricota,Megaviricetes,Imitervirales,Mimiviridae,,Mimivirus,Mimivirus LCMiAC01
MK500399,2506608,Viruses,Nucleocytoviricota,Megaviricetes,Imitervirales,Mimiviridae,,Mimivirus,Mimivirus LCMiAC01
MK500400,2506608,Viruses,Nucleocytoviricota,Megaviricetes,Imitervirales,Mimiviridae,,Mimivirus,Mimivirus LCMiAC01
MK500403,2506608,Viruses,Nucleocytoviricota,Megaviricetes,Imitervirales,Mimiviridae,,Mimivirus,Mimivirus LCMiAC01
MK500406,2506609,Viruses,Nucleocytoviricota,Megaviricetes,Imitervirales,Mimiviridae,,Mimivirus,Mimivirus LCMiAC02
MK500407,2506609,Viruses,Nucleocytoviricota,Megaviricetes,Imitervirales,Mimiviridae,,Mimivirus,Mimivirus LCMiAC02
MK500408,2506609,Viruses,Nucleocytoviricota,Megaviricetes,Imitervirales,Mimiviridae,,Mimivirus,Mimivirus LCMiAC02
MK500409,2506609,Viruses,Nucleocytoviricota,Megaviricetes,Imitervirales,Mimiviridae,,Mimivirus,Mimivirus LCMiAC02
MK500410,2506609,Viruses,Nucleocytoviricota,Megaviricetes,Imitervirales,Mimiviridae,,Mimivirus,Mimivirus LCMiAC02
MK500412,2506609,Viruses,Nucleocytoviricota,Megaviricetes,Imitervirales,Mimiviridae,,Mimivirus,Mimivirus LCMiAC02
MK500419,2506609,Viruses,Nucleocytoviricota,Megaviricetes,Imitervirales,Mimiviridae,,Mimivirus,Mimivirus LCMiAC02
MK500427,2506585,Viruses,,,,Pithoviridae,,,Pithovirus LCPAC001
MK500428,2506585,Viruses,,,,Pithoviridae,,,Pithovirus LCPAC001
MK500429,2506585,Viruses,,,,Pithoviridae,,,Pithovirus LCPAC001
MK500434,2506585,Viruses,,,,Pithoviridae,,,Pithovirus LCPAC001
MK500439,2506586,Viruses,,,,Pithoviridae,,,Pithovirus LCPAC101
MK500440,2506586,Viruses,,,,Pithoviridae,,,Pithovirus LCPAC101
MK500441,2506586,Viruses,,,,Pithoviridae,,,Pithovirus LCPAC101
MK500442,2506586,Viruses,,,,Pithoviridae,,,Pithovirus LCPAC101
MK500444,2506586,Viruses,,,,Pithoviridae,,,Pithovirus LCPAC101
MK500446,2506586,Viruses,,,,Pithoviridae,,,Pithovirus LCPAC101
MK500465,2506587,Viruses,,,,Pithoviridae,,,Pithovirus LCPAC102
MK500466,2506587,Viruses,,,,Pithoviridae,,,Pithovirus LCPAC102
MK500467,2506587,Viruses,,,,Pithoviridae,,,Pithovirus LCPAC102
MK500468,2506587,Viruses,,,,Pithoviridae,,,Pithovirus LCPAC102
MK500469,2506587,Viruses,,,,Pithoviridae,,,Pithovirus LCPAC102
MK500470,2506587,Viruses,,,,Pithoviridae,,,Pithovirus LCPAC102
MK500477,2506588,Viruses,,,,Pithoviridae,,,Pithovirus LCPAC103
MK500494,2506589,Viruses,,,,Pithoviridae,,,Pithovirus LCPAC104
MK500495,2506589,Viruses,,,,Pithoviridae,,,Pithovirus LCPAC104
MK500498,2506591,Viruses,,,,Pithoviridae,,,Pithovirus LCPAC201
MK500499,2506591,Viruses,,,,Pithoviridae,,,Pithovirus LCPAC201
MK500500,2506591,Viruses,,,,Pithoviridae,,,Pithovirus LCPAC201
MK500501,2506591,Viruses,,,,Pithoviridae,,,Pithovirus LCPAC201
MK500502,2506591,Viruses,,,,Pithoviridae,,,Pithovirus LCPAC201
MK500504,2506591,Viruses,,,,Pithoviridae,,,Pithovirus LCPAC201
MK500506,2506591,Viruses,,,,Pithoviridae,,,Pithovirus LCPAC201
MK500509,2506592,Viruses,,,,Pithoviridae,,,Pithovirus LCPAC202
MK500510,2506592,Viruses,,,,Pithoviridae,,,Pithovirus LCPAC202
MK500511,2506592,Viruses,,,,Pithoviridae,,,Pithovirus LCPAC202
MK500512,2506592,Viruses,,,,Pithoviridae,,,Pithovirus LCPAC202
MK500513,2506592,Viruses,,,,Pithoviridae,,,Pithovirus LCPAC202
MK500514,2506592,Viruses,,,,Pithoviridae,,,Pithovirus LCPAC202
MK500535,2506593,Viruses,,,,Pithoviridae,,,Pithovirus LCPAC302
MK500536,2506593,Viruses,,,,Pithoviridae,,,Pithovirus LCPAC302
MK500537,2506593,Viruses,,,,Pithoviridae,,,Pithovirus LCPAC302
MK500565,2506594,Viruses,,,,Pithoviridae,,,Pithovirus LCPAC304
MK500566,2506594,Viruses,,,,Pithoviridae,,,Pithovirus LCPAC304
MK500567,2506594,Viruses,,,,Pithoviridae,,,Pithovirus LCPAC304
MK500568,2506594,Viruses,,,,Pithoviridae,,,Pithovirus LCPAC304
MK500569,2506594,Viruses,,,,Pithoviridae,,,Pithovirus LCPAC304
MK500570,2506594,Viruses,,,,Pithoviridae,,,Pithovirus LCPAC304
MK500572,2506594,Viruses,,,,Pithoviridae,,,Pithovirus LCPAC304
MK500573,2506594,Viruses,,,,Pithoviridae,,,Pithovirus LCPAC304
MK500577,2506595,Viruses,,,,Pithoviridae,,,Pithovirus LCPAC401
MK500578,2506595,Viruses,,,,Pithoviridae,,,Pithovirus LCPAC401
MK500579,2506595,Viruses,,,,Pithoviridae,,,Pithovirus LCPAC401
MK500580,2506595,Viruses,,,,Pithoviridae,,,Pithovirus LCPAC401
MK500581,2506595,Viruses,,,,Pithoviridae,,,Pithovirus LCPAC401
MK500582,2506595,Viruses,,,,Pithoviridae,,,Pithovirus LCPAC401
MK500583,2506595,Viruses,,,,Pithoviridae,,,Pithovirus LCPAC401
MK500588,2506596,Viruses,,,,Pithoviridae,,,Pithovirus LCPAC403
MK500589,2506596,Viruses,,,,Pithoviridae,,,Pithovirus LCPAC403
MK500590,2506596,Viruses,,,,Pithoviridae,,,Pithovirus LCPAC403
MK500591,2506596,Viruses,,,,Pithoviridae,,,Pithovirus LCPAC403
MK500592,2506596,Viruses,,,,Pithoviridae,,,Pithovirus LCPAC403
MK500593,2506596,Viruses,,,,Pithoviridae,,,Pithovirus LCPAC403
MK500594,2506597,Viruses,,,,Pithoviridae,,,Pithovirus LCPAC404
MK500595,2506597,Viruses,,,,Pithoviridae,,,Pithovirus LCPAC404
MK500596,2506597,Viruses,,,,Pithoviridae,,,Pithovirus LCPAC404
MK500597,2506597,Viruses,,,,Pithoviridae,,,Pithovirus LCPAC404
MK500598,2506597,Viruses,,,,Pithoviridae,,,Pithovirus LCPAC404
MK500599,2506597,Viruses,,,,Pithoviridae,,,Pithovirus LCPAC404
MK500600,2506597,Viruses,,,,Pithoviridae,,,Pithovirus LCPAC404
MK500604,2506599,Viruses,,,,Pithoviridae,,,Pithovirus LCPAC406
MK500605,2506599,Viruses,,,,Pithoviridae,,,Pithovirus LCPAC406
MK500606,2506599,Viruses,,,,Pithoviridae,,,Pithovirus LCPAC406
MK500607,2506599,Viruses,,,,Pithoviridae,,,Pithovirus LCPAC406
